,status,reference,instansi
881,no,pemerintah kabupaten lampung barat,pemerintah kabupaten lampung utara
882,yes,pemkab lampung utara,pemerintah kabupaten lampung utara
883,no,pemkab lampung barat,pemerintah kabupaten lampung utara
884,no,pemerintah kabupaten pidie jaya,pemerintah kabupaten lanny jaya
885,no,pemkab pidie jaya,pemerintah kabupaten lanny jaya
886,yes,pemkab lanny jaya,pemerintah kabupaten lanny jaya
887,no,pemerintah kabupaten puncak jaya,pemerintah kabupaten lanny jaya
888,no,pemkab intan jaya,pemerintah kabupaten lanny jaya
889,no,pemerintah kabupaten intan jaya,pemerintah kabupaten lanny jaya
890,no,pemkab puncak jaya,pemerintah kabupaten lanny jaya
891,no,pemkab lombok utara,pemerintah kabupaten lombok tengah
892,no,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok tengah
893,yes,pemkab lombok tengah,pemerintah kabupaten lombok tengah
894,no,pemerintah kabupaten lombok timur,pemerintah kabupaten lombok tengah
895,no,pemkab lombok timur,pemerintah kabupaten lombok tengah
896,no,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok tengah
897,no,pemkab lombok barat,pemerintah kabupaten lombok tengah
898,no,pemkab lombok tengah,pemerintah kabupaten lombok timur
899,no,pemerintah kabupaten lombok tengah,pemerintah kabupaten lombok timur
900,no,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok timur
901,no,pemkab lombok barat,pemerintah kabupaten lombok timur
902,no,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok timur
903,yes,pemkab lombok timur,pemerintah kabupaten lombok timur
904,no,pemkab lombok utara,pemerintah kabupaten lombok timur
905,no,pemerintah kota mataram,pemerintah kabupaten mahakam ulu
906,yes,pemkab mahakam ulu,pemerintah kabupaten mahakam ulu
907,no,pemkot mataram,pemerintah kabupaten mahakam ulu
908,yes,pemkab malinau,pemerintah kabupaten malinau
909,no,mindanao,pemerintah kabupaten malinau
910,no,pemprov maluku,pemerintah kabupaten maluku barat daya
911,no,pemkab malaka,pemerintah kabupaten maluku barat daya
912,no,pemerintah kabupaten malaka,pemerintah kabupaten maluku barat daya
913,no,pemkab maluku tenggara barat,pemerintah kabupaten maluku barat daya
914,no,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku barat daya
915,no,pemkab maluku tengah,pemerintah kabupaten maluku barat daya
916,no,pemerintah provinsi maluku,pemerintah kabupaten maluku barat daya
917,no,pemerintah kabupaten maluku tengah,pemerintah kabupaten maluku barat daya
918,no,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku barat daya
919,yes,pemkab maluku barat daya,pemerintah kabupaten maluku barat daya
920,no,pemkab maluku tenggara,pemerintah kabupaten maluku barat daya
921,no,pemkab maluku tenggara,pemerintah kabupaten maluku tengah
922,no,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku tengah
923,no,pemkab maluku barat daya,pemerintah kabupaten maluku tengah
924,no,pemerintah provinsi maluku,pemerintah kabupaten maluku tengah
925,yes,pemkab maluku tengah,pemerintah kabupaten maluku tengah
926,no,pemprov maluku,pemerintah kabupaten maluku tengah
927,no,pemerintah kabupaten malaka,pemerintah kabupaten maluku tengah
928,no,pemerintah kabupaten maluku barat daya,pemerintah kabupaten maluku tengah
929,no,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku tengah
930,no,pemkab maluku tenggara barat,pemerintah kabupaten maluku tengah
931,no,pemkab malaka,pemerintah kabupaten maluku tengah
932,yes,pemkab mamberamo raya,pemerintah kabupaten mamberamo raya
933,no,pemkab mamberamo tengah,pemerintah kabupaten mamberamo raya
934,no,pemerintah kabupaten mamberamo tengah,pemerintah kabupaten mamberamo raya
935,yes,pemkab mamberamo tengah,pemerintah kabupaten mamberamo tengah
936,no,pemerintah kabupaten mamberamo raya,pemerintah kabupaten mamberamo tengah
937,no,pemkab mamberamo raya,pemerintah kabupaten mamberamo tengah
938,yes,pemkab manggarai,pemerintah kabupaten manggarai
939,no,pemkab manggarai barat,pemerintah kabupaten manggarai
940,no,pemerintah kabupaten manggarai barat,pemerintah kabupaten manggarai
941,no,pemkab manggarai timur,pemerintah kabupaten manggarai
942,no,manggarai,pemerintah kabupaten manggarai
943,no,pemerintah kabupaten manggarai timur,pemerintah kabupaten manggarai
944,no,pemerintah kabupaten manggarai,pemerintah kabupaten manggarai barat
945,no,pemkab manggarai,pemerintah kabupaten manggarai barat
946,no,pemerintah kabupaten manggarai timur,pemerintah kabupaten manggarai barat
947,yes,pemkab manggarai barat,pemerintah kabupaten manggarai barat
948,no,manggarai,pemerintah kabupaten manggarai barat
949,no,pemkab manggarai timur,pemerintah kabupaten manggarai barat
950,no,pemerintah kabupaten manggarai barat,pemerintah kabupaten manggarai timur
951,no,pemkab manggarai barat,pemerintah kabupaten manggarai timur
952,no,pemkab manggarai,pemerintah kabupaten manggarai timur
953,yes,pemkab manggarai timur,pemerintah kabupaten manggarai timur
954,no,manggarai,pemerintah kabupaten manggarai timur
955,no,pemerintah kabupaten manggarai,pemerintah kabupaten manggarai timur
956,no,pemerintah kabupaten manokwari selatan,pemerintah kabupaten manokwari
957,yes,pemkab manokwari,pemerintah kabupaten manokwari
958,no,pemkab manokwari selatan,pemerintah kabupaten manokwari
959,yes,pemkab manokwari selatan,pemerintah kabupaten manokwari selatan
960,no,pemkab manokwari,pemerintah kabupaten manokwari selatan
961,no,pemerintah kabupaten manokwari,pemerintah kabupaten manokwari selatan
962,no,masyarakat profesi penilai indonesia,pemerintah kabupaten mappi
963,no,sertifikat mappi,pemerintah kabupaten mappi
964,yes,pemkab mappi,pemerintah kabupaten mappi
965,no,merapi,pemerintah kabupaten mappi
966,yes,pemkab mesuji,pemerintah kabupaten mesuji
967,no,kawasan perdesaan prioritas nasional mesuji,pemerintah kabupaten mesuji
968,no,kppn mesuji,pemerintah kabupaten mesuji
969,yes,pemkab mimika,pemerintah kabupaten mimika
970,no,timika,pemerintah kabupaten mimika
971,yes,pemkab murung raya,pemerintah kabupaten murung raya
972,no,murung,pemerintah kabupaten murung raya
973,no,partai ummat kabupaten nabire,pemerintah kabupaten nabire
974,yes,pemkab nabire,pemerintah kabupaten nabire
975,no,bps kabupaten nabire,pemerintah kabupaten nabire
976,no,badan pusat statistik kabupaten nabire,pemerintah kabupaten nabire
977,no,natgeo,pemerintah kabupaten nagekeo
978,yes,pemkab nagekeo,pemerintah kabupaten nagekeo
979,no,laut natuna,pemerintah kabupaten natuna
980,yes,pemkab natuna,pemerintah kabupaten natuna
981,no,pemerintah kabupaten ngada,pemerintah kabupaten nduga
982,yes,pemkab nduga,pemerintah kabupaten nduga
983,no,pemkab ngada,pemerintah kabupaten nduga
984,no,pemerintah kabupaten pasuruan,pemerintah kabupaten nunukan
985,no,pemkab pasuruan,pemerintah kabupaten nunukan
986,yes,pemkab nunukan,pemerintah kabupaten nunukan
987,no,pantai,pemerintah kabupaten paniai
988,yes,pemkab paniai,pemerintah kabupaten paniai
989,no,pemkab bintan,pemerintah kabupaten pegunungan bintang
990,no,pemerintah kabupaten bintan,pemerintah kabupaten pegunungan bintang
991,no,bukit bintang,pemerintah kabupaten pegunungan bintang
992,yes,pemkab pegunungan bintang,pemerintah kabupaten pegunungan bintang
993,yes,pemkab penajam paser utara,pemerintah kabupaten penajam paser utara
994,no,pemerintah kabupaten paser,pemerintah kabupaten penajam paser utara
995,yes,pemerintah kabupaten penajam paser,pemerintah kabupaten penajam paser utara
996,no,pemkab paser,pemerintah kabupaten penajam paser utara
997,yes,pemkab penajam paser,pemerintah kabupaten penajam paser utara
998,yes,pemkab ppu,pemerintah kabupaten penajam paser utara
999,yes,pemerintah kabupaten ppu,pemerintah kabupaten penajam paser utara
1000,yes,pemkab pesawaran,pemerintah kabupaten pesawaran
1001,no,saweran,pemerintah kabupaten pesawaran
1002,yes,pemkab pesisir barat,pemerintah kabupaten pesisir barat
1003,no,pemerintah kabupaten pesisir selatan,pemerintah kabupaten pesisir barat
1004,no,pemkab pesisir selatan,pemerintah kabupaten pesisir barat
1005,no,pemkab pidie jaya,pemerintah kabupaten pidie
1006,no,pemerintah kabupaten pidie jaya,pemerintah kabupaten pidie
1007,yes,pemkab pidie,pemerintah kabupaten pidie
1008,no,kecamatan pulau pisang,pemerintah kabupaten pulang pisau
1009,no,komisi pemilihan umum kabupaten pulang pisau,pemerintah kabupaten pulang pisau
1010,no,kpu kabupaten pulang pisau,pemerintah kabupaten pulang pisau
1011,yes,pemkab pulang pisau,pemerintah kabupaten pulang pisau
1012,yes,pemkab pulau morotai,pemerintah kabupaten pulau morotai
1013,no,pemkab pulau taliabu,pemerintah kabupaten pulau morotai
1014,yes,pemkab morotai,pemerintah kabupaten pulau morotai
1015,no,pemerintah kabupaten pulau taliabu,pemerintah kabupaten pulau morotai
1016,yes,pemerintah kabupaten morotai,pemerintah kabupaten pulau morotai
1017,yes,pemkab puncak,pemerintah kabupaten puncak
1018,no,pemkab puncak jaya,pemerintah kabupaten puncak
1019,no,pemerintah kabupaten puncak jaya,pemerintah kabupaten puncak
1020,no,puncak,pemerintah kabupaten puncak
1021,no,pemkab pidie jaya,pemerintah kabupaten puncak jaya
1022,no,pemerintah kabupaten pidie jaya,pemerintah kabupaten puncak jaya
1023,no,pemkot jayapura,pemerintah kabupaten puncak jaya
1024,no,pemkab puncak,pemerintah kabupaten puncak jaya
1025,no,pemerintah kabupaten puncak,pemerintah kabupaten puncak jaya
1026,no,pemerintah kabupaten intan jaya,pemerintah kabupaten puncak jaya
1027,no,pemerintah kabupaten lanny jaya,pemerintah kabupaten puncak jaya
1028,no,pemkab lanny jaya,pemerintah kabupaten puncak jaya
1029,no,puncak,pemerintah kabupaten puncak jaya
1030,no,pemkab intan jaya,pemerintah kabupaten puncak jaya
1031,no,pemerintah kota jayapura,pemerintah kabupaten puncak jaya
1032,yes,pemkab puncak jaya,pemerintah kabupaten puncak jaya
1033,no,rsud rote ndao,pemerintah kabupaten rote ndao
1034,no,rumah sakit umum daerah rote ndao,pemerintah kabupaten rote ndao
1035,yes,pemkab rote ndao,pemerintah kabupaten rote ndao
1036,no,suku rote,pemerintah kabupaten rote ndao
1037,no,pulau rote,pemerintah kabupaten rote ndao
1038,no,kecamatan sabu,pemerintah kabupaten sabu raijua
1039,yes,pemkab sabu raijua,pemerintah kabupaten sabu raijua
1040,yes,pemerintah kabupaten saburaijua,pemerintah kabupaten sabu raijua
1041,yes,pemkab saburaijua,pemerintah kabupaten sabu raijua
1042,no,pemkab seram bagian timur,pemerintah kabupaten seram bagian barat
1043,yes,pemkab seram bagian barat,pemerintah kabupaten seram bagian barat
1044,yes,pemkab seram barat,pemerintah kabupaten seram bagian barat
1045,yes,pemerintah kabupaten seram barat,pemerintah kabupaten seram bagian barat
1046,no,pemerintah kabupaten seram bagian timur,pemerintah kabupaten seram bagian barat
1047,no,pemerintah kabupaten seram timur,pemerintah kabupaten seram bagian barat
1048,no,pemkab seram timur,pemerintah kabupaten seram bagian barat
1049,yes,pemkab seram bagian timur,pemerintah kabupaten seram bagian timur
1050,no,pemkab seram bagian barat,pemerintah kabupaten seram bagian timur
1051,no,pemerintah kabupaten seram barat,pemerintah kabupaten seram bagian timur
1052,yes,pemkab seram timur,pemerintah kabupaten seram bagian timur
1053,yes,pemerintah kabupaten seram timur,pemerintah kabupaten seram bagian timur
1054,no,pemkab seram barat,pemerintah kabupaten seram bagian timur
1055,no,pemerintah kabupaten seram bagian barat,pemerintah kabupaten seram bagian timur
1056,yes,pemkab seruyan,pemerintah kabupaten seruyan
1057,no,sungai seruyan,pemerintah kabupaten seruyan
1058,no,bps kabupaten simeulue,pemerintah kabupaten simeulue
1059,yes,pemkab simeulue,pemerintah kabupaten simeulue
1060,no,pulau simeulue,pemerintah kabupaten simeulue
1061,no,badan pusat statistik kabupaten simeulue,pemerintah kabupaten simeulue
1062,no,pengadilan agama sukamara,pemerintah kabupaten sukamara
1063,yes,pemkab sukamara,pemerintah kabupaten sukamara
1064,no,pa sukamara,pemerintah kabupaten sukamara
1065,no,pemprov sumteng,pemerintah kabupaten sumba tengah
1066,no,pemerintah kabupaten sumbawa,pemerintah kabupaten sumba tengah
1067,no,pemerintah kabupaten sumba timur,pemerintah kabupaten sumba tengah
1068,no,pemkab sumba timur,pemerintah kabupaten sumba tengah
1069,no,pemkab sumba barat,pemerintah kabupaten sumba tengah
1070,no,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumba tengah
1071,no,pemkab sumbawa,pemerintah kabupaten sumba tengah
1072,no,pemkab sumba barat daya,pemerintah kabupaten sumba tengah
1073,no,pemkab sumbawa barat,pemerintah kabupaten sumba tengah
1074,no,pemerintah kabupaten sumbawa barat,pemerintah kabupaten sumba tengah
1075,no,pemerintah provinsi sumteng,pemerintah kabupaten sumba tengah
1076,yes,pemkab sumba tengah,pemerintah kabupaten sumba tengah
1077,no,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba tengah
1078,yes,pemkab sumba timur,pemerintah kabupaten sumba timur
1079,no,pemerintah kabupaten sumbawa,pemerintah kabupaten sumba timur
1080,no,pemerintah kabupaten sumbawa barat,pemerintah kabupaten sumba timur
1081,no,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumba timur
1082,no,pemkab sumba barat daya,pemerintah kabupaten sumba timur
1083,no,pemkab sumba tengah,pemerintah kabupaten sumba timur
1084,no,pemerintah kabupaten sumba tengah,pemerintah kabupaten sumba timur
1085,no,pemkab sumba barat,pemerintah kabupaten sumba timur
1086,no,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba timur
1087,no,pemkab sumbawa barat,pemerintah kabupaten sumba timur
1088,no,pemkab sumbawa,pemerintah kabupaten sumba timur
1089,no,pemkab sumba barat daya,pemerintah kabupaten sumbawa
1090,no,pemkab sumba tengah,pemerintah kabupaten sumbawa
1091,no,pemkab sumba barat,pemerintah kabupaten sumbawa
1092,no,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa
1093,yes,pemkab sumbawa,pemerintah kabupaten sumbawa
1094,no,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumbawa
1095,no,pemerintah kabupaten sumba timur,pemerintah kabupaten sumbawa
1096,no,pemkab sumbawa barat,pemerintah kabupaten sumbawa
1097,no,pemerintah kabupaten sumbawa barat,pemerintah kabupaten sumbawa
1098,no,pemerintah kabupaten sumba tengah,pemerintah kabupaten sumbawa
1099,no,pemkab sumba timur,pemerintah kabupaten sumbawa
1100,yes,pemkab sumbawa barat,pemerintah kabupaten sumbawa barat
1101,no,pemerintah provinsi sumbar,pemerintah kabupaten sumbawa barat
1102,no,pemkab sumba tengah,pemerintah kabupaten sumbawa barat
1103,no,pemkab sumba timur,pemerintah kabupaten sumbawa barat
1104,no,pemerintah kabupaten sumba timur,pemerintah kabupaten sumbawa barat
1105,no,pemprov sumbar,pemerintah kabupaten sumbawa barat
1106,no,pemerintah provinsi sumatera barat,pemerintah kabupaten sumbawa barat
1107,no,pemprov sumatera barat,pemerintah kabupaten sumbawa barat
1108,no,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumbawa barat
1109,no,pemkab sumba barat daya,pemerintah kabupaten sumbawa barat
1110,no,pemerintah kabupaten sumbawa,pemerintah kabupaten sumbawa barat
1111,no,pemkab sumbawa,pemerintah kabupaten sumbawa barat
1112,no,pemkab sumba barat,pemerintah kabupaten sumbawa barat
1113,no,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa barat
1114,no,pemerintah kabupaten sumba tengah,pemerintah kabupaten sumbawa barat
1115,yes,pemkab supiori,pemerintah kabupaten supiori
1116,no,badan pusat statistik kabupaten supiori,pemerintah kabupaten supiori
1117,no,bps kabupaten supiori,pemerintah kabupaten supiori
1118,no,pemkab tanah bumbu,pemerintah kabupaten tana tidung
1119,no,pemerintah kabupaten tanah laut,pemerintah kabupaten tana tidung
1120,yes,pemkab tana tidung,pemerintah kabupaten tana tidung
1121,no,pemkab tanah laut,pemerintah kabupaten tana tidung
1122,no,pemerintah kabupaten tanah bumbu,pemerintah kabupaten tana tidung
1123,yes,pemerintah ktt,pemerintah kabupaten tana tidung
1124,yes,pemkab tanah bumbu,pemerintah kabupaten tanah bumbu
1125,no,pemkab tanah laut,pemerintah kabupaten tanah bumbu
1126,no,pemerintah kabupaten tanah laut,pemerintah kabupaten tanah bumbu
1127,no,pemerintah kabupaten tana tidung,pemerintah kabupaten tanah bumbu
1128,no,pemkab tana tidung,pemerintah kabupaten tanah bumbu
1129,no,pengadilan agama tanggamus,pemerintah kabupaten tanggamus
1130,no,pa tanggamus,pemerintah kabupaten tanggamus
1131,yes,pemkab tanggamus,pemerintah kabupaten tanggamus
1132,no,polres tapin,pemerintah kabupaten tapin
1133,yes,pemkab tapin,pemerintah kabupaten tapin
1134,yes,pemerintah kabupaten timteng utara,pemerintah kabupaten timor tengah utara
1135,yes,pemkab timor tengah utara,pemerintah kabupaten timor tengah utara
1136,yes,pemkab ttu,pemerintah kabupaten timor tengah utara
1137,no,pemkab timor tengah selatan,pemerintah kabupaten timor tengah utara
1138,no,pemerintah kabupaten timor tengah selatan,pemerintah kabupaten timor tengah utara
1139,yes,pemerintah kabupaten ttu,pemerintah kabupaten timor tengah utara
1140,yes,pemkab timteng utara,pemerintah kabupaten timor tengah utara
1141,no,bps kabupaten tolikara,pemerintah kabupaten tolikara
1142,yes,pemkab tolikara,pemerintah kabupaten tolikara
1143,no,badan pusat statistik tolikara,pemerintah kabupaten tolikara
1144,no,bps tolikara,pemerintah kabupaten tolikara
1145,no,badan pusat statistik kabupaten tolikara,pemerintah kabupaten tolikara
1146,yes,pemerintah kabupaten tubaba,pemerintah kabupaten tulang bawang barat
1147,no,pemkab tulang bawang,pemerintah kabupaten tulang bawang barat
1148,no,pemerintah kabupaten tulang bawang,pemerintah kabupaten tulang bawang barat
1149,yes,pemkab tubaba,pemerintah kabupaten tulang bawang barat
1150,yes,pemkab tulang bawang barat,pemerintah kabupaten tulang bawang barat
1151,yes,pemkab waropen,pemerintah kabupaten waropen
1152,no,bps kabupaten waropen,pemerintah kabupaten waropen
1153,no,suku waropen,pemerintah kabupaten waropen
1154,no,bps kabupaten waropen,pemerintah kabupaten waropen
1155,no,bps waropen,pemerintah kabupaten waropen
1156,no,badan pusat statistik kabupaten waropen,pemerintah kabupaten waropen
1157,yes,pemkab way kanan,pemerintah kabupaten way kanan
1158,no,way kambas,pemerintah kabupaten way kanan
1159,yes,pemkab yahukimo,pemerintah kabupaten yahukimo
1160,no,pemkab yalimo,pemerintah kabupaten yahukimo
1161,no,pemerintah kabupaten yalimo,pemerintah kabupaten yahukimo
1162,no,pemerintah kabupaten yahukimo,pemerintah kabupaten yalimo
1163,yes,pemkab yalimo,pemerintah kabupaten yalimo
1164,no,pemkab yahukimo,pemerintah kabupaten yalimo
1165,no,bika ambon,pemerintah kota ambon
1166,yes,pemkot ambong,pemerintah kota ambon
1167,yes,pemerintah kota ambong,pemerintah kota ambon
1168,yes,pemkot ambon,pemerintah kota ambon
1169,no,pulau ambon,pemerintah kota ambon
1170,no,pengadilan agama balikpapan,pemerintah kota balikpapan
1171,no,pa balikpapan,pemerintah kota balikpapan
1172,no,universitas balikpapan,pemerintah kota balikpapan
1173,yes,pemkot balikpapan,pemerintah kota balikpapan
1174,yes,pemkot bandarlampung,pemerintah kota bandar lampung
1175,yes,pemerintah kota bandarlampung,pemerintah kota bandar lampung
1176,no,pemkot banda aceh,pemerintah kota bandar lampung
1177,no,pemprov lampung,pemerintah kota bandar lampung
1178,yes,pemkot bandar lampung,pemerintah kota bandar lampung
1179,no,pemkab lampung timur,pemerintah kota bandar lampung
1180,no,pemerintah kabupaten lampung timur,pemerintah kota bandar lampung
1181,no,pemkab lampung barat,pemerintah kota bandar lampung
1182,no,pemkab lampung tengah,pemerintah kota bandar lampung
1183,no,pemerintah kabupaten lampung tengah,pemerintah kota bandar lampung
1184,no,pemkab lampung utara,pemerintah kota bandar lampung
1185,no,pemerintah kabupaten lampung utara,pemerintah kota bandar lampung
1186,no,pemerintah provinsi lampung,pemerintah kota bandar lampung
1187,no,pemerintah kabupaten lampung barat,pemerintah kota bandar lampung
1188,no,pemerintah kabupaten lampung selatan,pemerintah kota bandar lampung
1189,no,pemerintah kota banda aceh,pemerintah kota bandar lampung
1190,no,pemkab lampung selatan,pemerintah kota bandar lampung
1191,no,pemkot banjarmasin,pemerintah kota banjarbaru
1192,no,pemerintah kota banjarmasin,pemerintah kota banjarbaru
1193,yes,pemkot banjarbaru,pemerintah kota banjarbaru
1194,no,pemerintah kabupaten banjar,pemerintah kota banjarbaru
1195,no,pemerintah kota banjarmasin,pemerintah kota banjarbaru
1196,no,pemkab banjar,pemerintah kota banjarbaru
1197,no,pemerintah kota banjar,pemerintah kota banjarbaru
1198,no,pemkot banjar,pemerintah kota banjarbaru
1199,no,pemkot banjarmasin,pemerintah kota banjarbaru
1200,no,pemerintah kota banjar,pemerintah kota banjarmasin
1201,no,pemkot banjar,pemerintah kota banjarmasin
1202,no,pemkab banjar,pemerintah kota banjarmasin
1203,yes,pemkot banjarmasin,pemerintah kota banjarmasin
1204,no,pemerintah kabupaten banjar,pemerintah kota banjarmasin
1205,no,pemkot banjarbaru,pemerintah kota banjarmasin
1206,no,pemerintah kota banjarbaru,pemerintah kota banjarmasin
1207,no,pemkot banjarbaru,pemerintah kota banjarmasin
1208,no,pemerintah kota banjarbaru,pemerintah kota banjarmasin
1209,yes,pemerintah kota banjarmasih,pemerintah kota banjarmasin
1210,yes,pemkot banjarmasih,pemerintah kota banjarmasin
1211,no,pemerintah kota mataram,pemerintah kota batam
1212,no,batan,pemerintah kota batam
1213,no,pemkot mataram,pemerintah kota batam
1214,yes,pemkot batam,pemerintah kota batam
1215,yes,pemkot bima,pemerintah kota bima
1216,no,stie bima,pemerintah kota bima
1217,no,bima tri,pemerintah kota bima
1218,no,bima kemdikbudristek,pemerintah kota bima
1219,no,banteng,pemerintah kota bontang
1220,yes,pemkot bontang,pemerintah kota bontang
1221,no,pemerintah kabupaten puncak jaya,pemerintah kota jayapura
1222,yes,pemkot jayapura,pemerintah kota jayapura
1223,no,pemkab puncak jaya,pemerintah kota jayapura
1224,yes,pemkot kupang,pemerintah kota kupang
1225,no,pt semen kupang,pemerintah kota kupang
1226,no,bangsa,pemerintah kota langsa
1227,yes,pemkot langsa,pemerintah kota langsa
1228,no,pemkab mahakam,pemerintah kota mataram
1229,yes,pemkot mataram,pemerintah kota mataram
1230,no,pemerintah kabupaten mahakam,pemerintah kota mataram
1231,no,kota metropolitan,pemerintah kota metro
1232,no,metro tv,pemerintah kota metro
1233,yes,pemkot metro,pemerintah kota metro
1234,yes,pemkot palangkaraya,pemerintah kota palangka raya
1235,yes,pemkot palangka raya,pemerintah kota palangka raya
1236,yes,pemerintah kota palangkaraya,pemerintah kota palangka raya
1237,yes,pemkot samarinda,pemerintah kota samarinda
1238,no,pengadilan agama samarnda,pemerintah kota samarinda
1239,no,pa samarinda,pemerintah kota samarinda
1240,yes,pemkot subulussalam,pemerintah kota subulussalam
1241,no,polres subulussalam,pemerintah kota subulussalam
1242,yes,pemkot tanjungpinang,pemerintah kota tanjung pinang
1243,yes,pemerintah kota tanjungpinang,pemerintah kota tanjung pinang
1244,yes,pemkot tanjung pinang,pemerintah kota tanjung pinang
1245,yes,pemkot tarakan,pemerintah kota tarakan
1246,no,tarakanita,pemerintah kota tarakan
1247,yes,pemkot ternate,pemerintah kota ternate
1248,no,kesultanan ternate,pemerintah kota ternate
1249,yes,pemkot tual,pemerintah kota tual
1250,no,kota tua,pemerintah kota tual
1251,yes,pemprov kalteng,pemerintah provinsi kalimantan tengah
1252,no,pemerintah provinsi kalimantan timur,pemerintah provinsi kalimantan tengah
1253,no,pemprov kalimantan timur,pemerintah provinsi kalimantan tengah
1254,no,pemerintah provinsi kalimantan utara,pemerintah provinsi kalimantan tengah
1255,no,pemprov kalimantan utara,pemerintah provinsi kalimantan tengah
1256,no,pemprov kalimantan selatan,pemerintah provinsi kalimantan tengah
1257,no,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalimantan tengah
1258,yes,pemerintah provinsi kalteng,pemerintah provinsi kalimantan tengah
1259,yes,pemprov kalimantan tengah,pemerintah provinsi kalimantan tengah
1260,yes,pemerintah provinsi kaltara,pemerintah provinsi kalimantan utara
1261,yes,pemprov kaltara,pemerintah provinsi kalimantan utara
1262,yes,pemprov kalimantan utara,pemerintah provinsi kalimantan utara
1263,no,pemprov kalimantan selatan,pemerintah provinsi kalimantan utara
1264,no,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalimantan utara
1265,no,pemprov kalimantan timur,pemerintah provinsi kalimantan utara
1266,no,pemerintah provinsi kalimantan tengah,pemerintah provinsi kalimantan utara
1267,no,pemprov kalimantan tengah,pemerintah provinsi kalimantan utara
1268,no,pemerintah provinsi kalimantan timur,pemerintah provinsi kalimantan utara
1269,no,pemkab bangka,pemerintah provinsi kepulauan bangka belitung
1270,yes,pemprov kepulauan babel,pemerintah provinsi kepulauan bangka belitung
1271,yes,pemerintah provinsi kepulauan babel,pemerintah provinsi kepulauan bangka belitung
1272,yes,pemerintah provinsi babel,pemerintah provinsi kepulauan bangka belitung
1273,yes,pemprov babel,pemerintah provinsi kepulauan bangka belitung
1274,no,pemerintah kabupaten bangka,pemerintah provinsi kepulauan bangka belitung
1275,yes,pemprov bangka belitung,pemerintah provinsi kepulauan bangka belitung
1276,yes,pemerintah provinsi bangka belitung,pemerintah provinsi kepulauan bangka belitung
1277,yes,pemprov kepulauan bangka belitung,pemerintah provinsi kepulauan bangka belitung
1278,yes,pemprov kepulauan riau,pemerintah provinsi kepulauan riau
1279,yes,pemprov kepri,pemerintah provinsi kepulauan riau
1280,no,pemprov riau,pemerintah provinsi kepulauan riau
1281,yes,pemerintah provinsi kepri,pemerintah provinsi kepulauan riau
1282,no,pemerintah provinsi riau,pemerintah provinsi kepulauan riau
1283,no,pemerintah kabupaten lampung tengah,pemerintah provinsi lampung
1284,no,pemerintah kabupaten lampung selatan,pemerintah provinsi lampung
1285,no,pemerintah kabupaten lampung utara,pemerintah provinsi lampung
1286,no,pemkab lampung utara,pemerintah provinsi lampung
1287,no,pemerintah kota bandar lampung,pemerintah provinsi lampung
1288,yes,pemprov lampung,pemerintah provinsi lampung
1289,no,pemerintah kabupaten lampung timur,pemerintah provinsi lampung
1290,no,pemkab lampung selatan,pemerintah provinsi lampung
1291,no,pemerintah kabupaten lampung barat,pemerintah provinsi lampung
1292,no,pemkab lampung tengah,pemerintah provinsi lampung
1293,no,pemkot bandar lampung,pemerintah provinsi lampung
1294,no,pemkab lampung timur,pemerintah provinsi lampung
1295,no,pemkab lampung barat,pemerintah provinsi lampung
1296,no,pemerintah provinsi maluku utara,pemerintah provinsi maluku
1297,yes,pemprov maluku,pemerintah provinsi maluku
1298,no,pemprov maluku utara,pemerintah provinsi maluku
1299,no,pemkab aceh tengah,pemerintah provinsi nanggroe aceh darusalam
1300,no,pemerintah kabupaten aceh timur,pemerintah provinsi nanggroe aceh darusalam
1301,no,pemkab aceh utara,pemerintah provinsi nanggroe aceh darusalam
1302,no,pemerintah kabupaten aceh utara,pemerintah provinsi nanggroe aceh darusalam
1303,no,pemkab aceh tenggara,pemerintah provinsi nanggroe aceh darusalam
1304,no,pemerintah kabupaten aceh tenggara,pemerintah provinsi nanggroe aceh darusalam
1305,no,pemkab aceh jaya,pemerintah provinsi nanggroe aceh darusalam
1306,no,pemerintah kabupaten aceh jaya,pemerintah provinsi nanggroe aceh darusalam
1307,no,pemerintah kabupaten aceh tengah,pemerintah provinsi nanggroe aceh darusalam
1308,no,pemkab aceh tamiang,pemerintah provinsi nanggroe aceh darusalam
