,reference
1603,Pemerintah Kabupaten Wajo
1604,Pemerintah Kota Makassar
1605,Pemerintah Kota Palopo
1606,Pemerintah Kota Pare Pare
1607,Pemerintah Provinsi Sulawesi Selatan
1608,PT Kawasan Industri Makassar Persero
1609,Pemerintah Kabupaten Banggai
1610,Pemerintah Kabupaten Banggai Kepulauan
1611,Pemerintah Kabupaten Banggai Laut
1612,Pemerintah Kabupaten Buol
1613,Pemerintah Kabupaten Donggala
1614,Pemerintah Kabupaten Morowali
1615,Pemerintah Kabupaten Morowali Utara
1616,Pemerintah Kabupaten Parigi Moutong
1617,Pemerintah Kabupaten Poso
1618,Pemerintah Kabupaten Sigi
1619,Pemerintah Kabupaten Tojo Una Una
1620,Pemerintah Kabupaten Toli Toli
1621,Pemerintah Kota Palu
1622,Pemerintah Provinsi Sulawesi Tengah
1623,Pemerintah Kabupaten Bombana
1624,Pemerintah Kabupaten Buton
1625,Pemerintah Kabupaten Buton Selatan
1626,Pemerintah Kabupaten Buton Tengah
1627,Pemerintah Kabupaten Buton Utara
1628,Pemerintah Kabupaten Kolaka
1629,Pemerintah Kabupaten Kolaka Timur
1630,Pemerintah Kabupaten Kolaka Utara
1631,Pemerintah Kabupaten Konawe
1632,Pemerintah Kabupaten Konawe Kepulauan
1633,Pemerintah Kabupaten Konawe Selatan
1634,Pemerintah Kabupaten Konawe Utara
1635,Pemerintah Kabupaten Muna
1636,Pemerintah Kabupaten Muna Barat
1637,Pemerintah Kabupaten Wakatobi
1638,Pemerintah Kota Bau Bau
1639,Pemerintah Kota Kendari
1640,Pemerintah Provinsi Sulawesi Tenggara
1641,Pemerintah Kabupaten Bolaang Mongondow
1642,Pemerintah Kabupaten Bolaang Mongondow Selatan
1643,Pemerintah Kabupaten Bolaang Mongondow Timur
1644,Pemerintah Kabupaten Bolaang Mongondow Utara
1645,Pemerintah Kabupaten Kepulauan Sangihe
1646,Pemerintah Kabupaten Kepulauan Siau Tagulandang Biaro
1647,Pemerintah Kabupaten Kepulauan Talaud
1648,Pemerintah Kabupaten Minahasa
1649,Pemerintah Kabupaten Minahasa Selatan
1650,Pemerintah Kabupaten Minahasa Tenggara
1651,Pemerintah Kabupaten Minahasa Utara
1652,Pemerintah Kota Bitung
1653,Pemerintah Kota Kotamobagu
1654,Pemerintah Kota Manado
1655,Pemerintah Kota Tomohon
1656,Pemerintah Provinsi Sulawesi Utara
1657,Pemerintah Kabupaten Agam
1658,Pemerintah Kabupaten Dharmasraya
1659,Pemerintah Kabupaten Kepulauan Mentawai
1660,Pemerintah Kabupaten Lima Puluh Kota
1661,Pemerintah Kabupaten Padang Pariaman
1662,Pemerintah Kabupaten Pasaman
1663,Pemerintah Kabupaten Pasaman Barat
1664,Pemerintah Kabupaten Pesisir Selatan
1665,Pemerintah Kabupaten Sijunjung
1666,Pemerintah Kabupaten Solok
1667,Pemerintah Kabupaten Solok Selatan
1668,Pemerintah Kabupaten Tanah Datar
1669,Pemerintah Kota Bukittinggi
1670,Pemerintah Kota Padang
1671,Pemerintah Kota Padang Panjang
1672,Pemerintah Kota Pariaman
1673,Pemerintah Kota Payakumbuh
1674,Pemerintah Kota Sawahlunto
1675,Pemerintah Kota Solok
1676,Pemerintah Provinsi Sumatera Barat
1677,Pemerintah Kabupaten Banyuasin
1678,Pemerintah Kabupaten Empat Lawang
1679,Pemerintah Kabupaten Lahat
1680,Pemerintah Kabupaten Muara Enim
1681,Pemerintah Kabupaten Musi Banyuasin
1682,Pemerintah Kabupaten Musi Rawas
1683,Pemerintah Kabupaten Musi Rawas Utara
1684,Pemerintah Kabupaten Ogan Ilir
1685,Pemerintah Kabupaten Ogan Komering Ilir
1686,Pemerintah Kabupaten Ogan Komering Ulu
1687,Pemerintah Kabupaten Ogan Komering Ulu Selatan
1688,Pemerintah Kabupaten Ogan Komering Ulu Timur
1689,Pemerintah Kabupaten Penukal Abab Lematang Ilir
1690,Pemerintah Kota Lubuk Linggau
1691,Pemerintah Kota Pagar Alam
1692,Pemerintah Kota Palembang
1693,Pemerintah Kota Prabumulih
1694,Pemerintah Provinsi Sumatera Selatan
1695,Pemerintah Kabupaten Asahan
1696,Pemerintah Kabupaten Batu Bara
1697,Pemerintah Kabupaten Dairi
1698,Pemerintah Kabupaten Deli Serdang
1699,Pemerintah Kabupaten Humbang Hasundutan
1700,Pemerintah Kabupaten Karo
1701,Pemerintah Kabupaten Labuhanbatu
1702,Pemerintah Kabupaten Labuhanbatu Selatan
1703,Pemerintah Kabupaten Labuhanbatu Utara
1704,Pemerintah Kabupaten Langkat
1705,Pemerintah Kabupaten Mandailing Natal
1706,Pemerintah Kabupaten Nias
1707,Pemerintah Kabupaten Nias Barat
1708,Pemerintah Kabupaten Nias Selatan
1709,Pemerintah Kabupaten Nias Utara
1710,Pemerintah Kabupaten Padang Lawas
1711,Pemerintah Kabupaten Padang Lawas Utara
1712,Pemerintah Kabupaten Pakpak Bharat
1713,Pemerintah Kabupaten Samosir
1714,Pemerintah Kabupaten Serdang Bedagai
1715,Pemerintah Kabupaten Simalungun
1716,Pemerintah Kabupaten Tapanuli Selatan
1717,Pemerintah Kabupaten Tapanuli Tengah
1718,Pemerintah Kabupaten Tapanuli Utara
1719,Pemerintah Kabupaten Toba Samosir
1720,Pemerintah Kota Binjai
1721,Pemerintah Kota Gunungsitoli
1722,Pemerintah Kota Medan
1723,Pemerintah Kota Padangsidimpuan
1724,Pemerintah Kota Pematang Siantar
1725,Pemerintah Kota Sibolga
1726,Pemerintah Kota Tanjung Balai
1727,Pemerintah Kota Tebing Tinggi
1728,Pemerintah Provinsi Sumatera Utara
