instansi,status,reference
pemerintah provinsi kalimantan tengah,yes,pemerintah provinsi kalteng
pemerintah provinsi kalimantan tengah,yes,pemprov kalimantan tengah
pemerintah provinsi kalimantan timur,yes,pemprov kaltim
pemerintah provinsi kalimantan timur,yes,pemerintah provinsi kaltim
pemerintah provinsi kalimantan timur,no,pemerintah provinsi kalimantan selatan
pemerintah provinsi kalimantan timur,no,pemprov kalimantan selatan
pemerintah provinsi kalimantan timur,yes,pemprov kalimantan timur
pemerintah provinsi kalimantan timur,no,pemerintah provinsi kalimantan utara
pemerintah provinsi kalimantan timur,no,pemprov kalimantan utara
pemerintah provinsi kalimantan timur,no,pemerintah provinsi kalimantan tengah
pemerintah provinsi kalimantan timur,no,pemprov kalimantan tengah
pemerintah provinsi kalimantan utara,yes,pemerintah provinsi kaltara
pemerintah provinsi kalimantan utara,yes,pemprov kaltara
pemerintah provinsi kalimantan utara,yes,pemprov kalimantan utara
pemerintah provinsi kalimantan utara,no,pemprov kalimantan selatan
pemerintah provinsi kalimantan utara,no,pemerintah provinsi kalimantan selatan
pemerintah provinsi kalimantan utara,no,pemprov kalimantan timur
pemerintah provinsi kalimantan utara,no,pemerintah provinsi kalimantan tengah
pemerintah provinsi kalimantan utara,no,pemprov kalimantan tengah
pemerintah provinsi kalimantan utara,no,pemerintah provinsi kalimantan timur
pemerintah provinsi kepulauan riau,yes,pemprov kepulauan riau
pemerintah provinsi kepulauan riau,yes,pemprov kepri
pemerintah provinsi kepulauan riau,no,pemprov riau
pemerintah provinsi kepulauan riau,yes,pemerintah provinsi kepri
pemerintah provinsi kepulauan riau,no,pemerintah provinsi riau
pemerintah provinsi maluku,no,pemerintah provinsi maluku utara
pemerintah provinsi maluku,yes,pemprov maluku
pemerintah provinsi maluku,no,pemprov maluku utara
pemerintah provinsi maluku utara,no,pemerintah provinsi maluku
pemerintah provinsi maluku utara,yes,pemprov malut
pemerintah provinsi maluku utara,yes,pemprov maluku utara
pemerintah provinsi maluku utara,yes,pemerintah provinsi malut
pemerintah provinsi maluku utara,no,pemprov maluku
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh tengah
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh timur
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh utara
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh utara
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh tenggara
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh tenggara
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh jaya
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh jaya
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh tengah
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh tamiang
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh timur
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh barat daya
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh barat daya
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh singkil
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh singkil
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh selatan
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh selatan
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh tamiang
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh barat
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh barat
pemerintah provinsi nanggroe aceh darusalam,no,pemkot banda aceh
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kota banda aceh
pemerintah provinsi nanggroe aceh darusalam,no,pemkab aceh besar
pemerintah provinsi nanggroe aceh darusalam,no,pemerintah kabupaten aceh besar
pemerintah provinsi nangroe aceh darussalam,yes,pemerintah provinsi nad
pemerintah provinsi nangroe aceh darussalam,yes,pemprov nad
pemerintah provinsi nangroe aceh darussalam,yes,pemprov nangroe aceh darussalam
pemerintah provinsi nusa tenggara barat,yes,pemprov ntb
pemerintah provinsi nusa tenggara barat,no,pemprov nusa tenggara timur
pemerintah provinsi nusa tenggara barat,yes,pemerintah provinsi ntb
pemerintah provinsi nusa tenggara barat,no,pemerintah provinsi nusa tenggara timur
pemerintah provinsi nusa tenggara barat,yes,pemprov nusa tenggara barat
pemerintah provinsi nusa tenggara timur,no,pemprov nusa tenggara barat
pemerintah provinsi nusa tenggara timur,no,pemerintah provinsi nusa tenggara barat
pemerintah provinsi nusa tenggara timur,yes,pemerintah provinsi ntt
pemerintah provinsi nusa tenggara timur,yes,pemprov ntt
pemerintah provinsi nusa tenggara timur,yes,pemprov nusa tenggara timur
pemerintah provinsi papua,no,pemerintah provinsi papua barat
pemerintah provinsi papua,no,pemprov papua barat
pemerintah provinsi papua,yes,pemprov papua
pemerintah kabupaten agam,no,pemkab asmat
pemerintah kabupaten agam,no,pemerintah kabupaten asmat
pemerintah kabupaten agam,yes,pemkab agam
pemerintah kabupaten asahan,no,pemkab asmat
pemerintah kabupaten asahan,no,pemerintah kabupaten asmat
pemerintah kabupaten asahan,yes,pemkab asahan
pemerintah kabupaten banggai,yes,pemkab banggai
pemerintah kabupaten banggai,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten banggai,no,pemkab banggai kepulauan
pemerintah kabupaten banggai,no,pemerintah kabupaten banggai laut
pemerintah kabupaten banggai,no,pemkab banggai laut
pemerintah kabupaten banggai laut,yes,pemkab banggai laut
pemerintah kabupaten banggai laut,no,pemkab banggai kepulauan
pemerintah kabupaten banggai laut,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten banggai laut,no,pemerintah kabupaten banggai
pemerintah kabupaten banggai laut,no,pemkab banggai
pemerintah kabupaten bantaeng,no,pemerintah kota bontang
pemerintah kabupaten bantaeng,yes,pemkab bantaeng
pemerintah kabupaten banyuasin,yes,pemkab banyuasin
pemerintah kabupaten banyuasin,no,pemerintah banyumanis
pemerintah kabupaten barru,no,pemerintah kabupaten kotabaru
pemerintah kabupaten barru,yes,pemkab barru
pemerintah kabupaten batu bara,no,batu bara
pemerintah kabupaten batu bara,no,batubara
pemerintah kabupaten batu bara,yes,pemerintah kabupaten batubara
pemerintah kabupaten batu bara,yes,pemkab batu bara
pemerintah kabupaten batu bara,no,pemerintah kabupaten kotabaru
pemerintah kabupaten bengkalis,yes,pemkab bengkalis
pemerintah kabupaten bengkalis,no,pemerintah kabupaten bengkayang
pemerintah kabupaten bolaang mongondow selatan,no,pemerintah kabupaten bolaang mongondow
pemerintah kabupaten bolaang mongondow selatan,no,pemerintah kabupaten bolaang mongondow utara
pemerintah kabupaten bolaang mongondow selatan,no,pemerintah kabupaten bolaang mongondow timur
pemerintah kabupaten bolaang mongondow selatan,no,pemkab bolaang mongondow timur
pemerintah kabupaten bolaang mongondow selatan,yes,pemkab bolaang mongondow selatan
pemerintah kabupaten bolaang mongondow selatan,no,pemkab bolaang mongondow
pemerintah kabupaten bolaang mongondow selatan,no,pemkab bolaang mongondow utara
pemerintah kabupaten bolaang mongondow timur,no,pemkab bolaang mongondow
pemerintah kabupaten bolaang mongondow timur,no,pemkab bolaang mongondow selatan
pemerintah kabupaten bolaang mongondow timur,no,pemerintah kabupaten bolaang mongondow selatan
pemerintah kabupaten bolaang mongondow timur,no,pemkab bolaang mongondow utara
pemerintah kabupaten bolaang mongondow timur,no,pemerintah kabupaten bolaang mongondow utara
pemerintah kabupaten bolaang mongondow timur,yes,pemkab bolaang mongondow timur
pemerintah kabupaten bolaang mongondow timur,no,pemerintah kabupaten bolaang mongondow
pemerintah kabupaten bolaang mongondow utara,no,pemkab bolaang mongondow timur
pemerintah kabupaten bolaang mongondow utara,no,pemerintah kabupaten bolaang mongondow timur
pemerintah kabupaten bolaang mongondow utara,no,pemkab bolaang mongondow selatan
pemerintah kabupaten bolaang mongondow utara,no,pemerintah kabupaten bolaang mongondow
pemerintah kabupaten bolaang mongondow utara,yes,pemkab bolaang mongondow utara
pemerintah kabupaten bolaang mongondow utara,no,pemkab bolaang mongondow
pemerintah kabupaten bolaang mongondow utara,no,pemerintah kabupaten bolaang mongondow selatan
pemerintah kabupaten bombana,no,pemerintah kabupaten boalemo
pemerintah kabupaten bombana,yes,pemkab bombana
pemerintah kabupaten bone,yes,pemkab bone
pemerintah kabupaten bone,no,pemerintah kota bontang
pemerintah kabupaten bulukumba,no,pemerintah kabupaten buleleng
pemerintah kabupaten bulukumba,no,pemerintah kabupaten bulungan
pemerintah kabupaten bulukumba,yes,pemkab bulukumba
pemerintah kabupaten buol,yes,pemkab buol
pemerintah kabupaten buol,no,pemerintah kabupaten buton
pemerintah kabupaten buton,yes,pemkab buton
pemerintah kabupaten buton,no,pemerintah kabupaten buton utara
pemerintah kabupaten buton,no,pemkab buton utara
pemerintah kabupaten buton,no,pemkab buton selatan
pemerintah kabupaten buton,no,pemerintah kabupaten buton tengah
pemerintah kabupaten buton,no,pemkab buton tengah
pemerintah kabupaten buton,no,pemerintah kabupaten buton selatan
pemerintah kabupaten buton selatan,no,pemerintah kabupaten buton tengah
pemerintah kabupaten buton selatan,no,pemkab buton
pemerintah kabupaten buton selatan,no,pemerintah kabupaten buton
pemerintah kabupaten buton selatan,yes,pemkab buton selatan
pemerintah kabupaten buton selatan,no,pemkab buton utara
pemerintah kabupaten buton selatan,no,pemerintah kabupaten buton utara
pemerintah kabupaten buton selatan,no,pemkab buton tengah
pemerintah kabupaten buton utara,yes,pemkab buton utara
pemerintah kabupaten buton utara,no,pemerintah kabupaten buton
pemerintah kabupaten buton utara,no,pemkab buton
pemerintah kabupaten buton utara,no,pemkab buton selatan
pemerintah kabupaten buton utara,no,pemkab buton tengah
pemerintah kabupaten buton utara,no,pemerintah kabupaten buton tengah
pemerintah kabupaten buton utara,no,pemerintah kabupaten buton selatan
pemerintah kabupaten deli serdang,yes,pemkab deli serdang
pemerintah kabupaten deli serdang,no,deli
pemerintah kabupaten dharmasraya,no,pemkab boalemo
pemerintah kabupaten dharmasraya,yes,pemkab dharmasraya
pemerintah kabupaten donggala,yes,pemkab donggala
pemerintah kabupaten donggala,no,benggala
pemerintah kabupaten empat lawang,yes,pemkab empat lawang
pemerintah kabupaten empat lawang,no,pemkab karawang
pemerintah kabupaten empat lawang,no,pemerintah kabupaten karawang
pemerintah kabupaten gowa,no,pemerintah kabupaten gorontalo
pemerintah kabupaten gowa,yes,pemkab gowa
pemerintah kabupaten indragiri hulu,no,pemerintah kabupaten indragiri hilir
pemerintah kabupaten indragiri hulu,no,pemkab indragiri hilir
pemerintah kabupaten indragiri hulu,yes,pemkab indragiri hulu
pemerintah kabupaten kampar,no,pemerintah kabupaten karawang
pemerintah kabupaten kampar,yes,pemkab kampar
pemerintah kabupaten karo,yes,pemkab karo
pemerintah kabupaten karo,no,pemerintah kabupaten kaur
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten kepulauan selayar
pemerintah kabupaten kepulauan mentawai,no,pemkab kepulauan selayar
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan mentawai,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan mentawai,yes,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan mentawai,no,pemkab kepulauan meranti
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten kepulauan meranti
pemerintah kabupaten kepulauan mentawai,no,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan mentawai,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan mentawai,no,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten kepulauan sangihe
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten kepulauan talaud
pemerintah kabupaten kepulauan mentawai,no,pemkab kepulauan talaud
pemerintah kabupaten kepulauan mentawai,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan mentawai,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan meranti,no,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten kepulauan sangihe
pemerintah kabupaten kepulauan meranti,yes,pemkab kepulauan meranti
pemerintah kabupaten kepulauan meranti,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan meranti,no,pemkab kepulauan talaud
pemerintah kabupaten kepulauan meranti,no,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan meranti,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan meranti,no,pemkab kepulauan selayar
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten kepulauan selayar
pemerintah kabupaten kepulauan meranti,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten kepulauan mentawai
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan meranti,no,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan meranti,no,pemerintah kabupaten kepulauan talaud
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten kepulauan meranti
pemerintah kabupaten kepulauan sangihe,yes,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan sangihe,no,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan sangihe,no,pemkab kepulauan selayar
pemerintah kabupaten kepulauan sangihe,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten kepulauan selayar
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten kepulauan mentawai
pemerintah kabupaten kepulauan sangihe,no,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten kepulauan talaud
pemerintah kabupaten kepulauan sangihe,no,pemkab kepulauan talaud
pemerintah kabupaten kepulauan sangihe,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan sangihe,no,pemkab kepulauan meranti
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten kepulauan talaud
pemerintah kabupaten kepulauan selayar,no,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan selayar,no,pemkab kepulauan talaud
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan selayar,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan selayar,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten kepulauan meranti
pemerintah kabupaten kepulauan selayar,no,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan selayar,no,pemkab kepulauan meranti
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten kepulauan mentawai
pemerintah kabupaten kepulauan selayar,no,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan selayar,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan selayar,yes,pemkab kepulauan selayar
pemerintah kabupaten kepulauan selayar,no,pemerintah kabupaten kepulauan sangihe
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab kepulauan meranti
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten kepulauan mentawai
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten kepulauan sangihe
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten kepulauan meranti
pemerintah kabupaten kepulauan siau tagulandang biaro,yes,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten kepulauan selayar
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab kepulauan selayar
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten kepulauan talaud
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemkab kepulauan talaud
pemerintah kabupaten kepulauan siau tagulandang biaro,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten kepulauan mentawai
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan talaud,no,pemkab pangkajene kepulauan
pemerintah kabupaten kepulauan talaud,no,pemkab kepulauan sangihe
pemerintah kabupaten kepulauan talaud,no,pemkab konawe kepulauan
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten kepulauan sangihe
pemerintah kabupaten kepulauan talaud,no,pemkab kepulauan siau tagulandang biaro
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten pangkajene kepulauan
pemerintah kabupaten kepulauan talaud,no,pemkab kepulauan mentawai
pemerintah kabupaten kepulauan talaud,no,pemkab kepulauan selayar
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten kepulauan selayar
pemerintah kabupaten kepulauan talaud,yes,pemkab kepulauan talaud
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten kepulauan meranti
pemerintah kabupaten kepulauan talaud,no,pemerintah kabupaten banggai kepulauan
pemerintah kabupaten kepulauan talaud,no,pemkab banggai kepulauan
pemerintah kabupaten kepulauan talaud,no,pemkab kepulauan meranti
pemerintah kabupaten kolaka,no,pemkab kolaka timur
pemerintah kabupaten kolaka,no,pemerintah kabupaten kolaka timur
pemerintah kabupaten kolaka,no,pemerintah kabupaten kolaka utara
pemerintah kabupaten kolaka,no,pemkab kolaka utara
pemerintah kabupaten kolaka,yes,pemkab kolaka
pemerintah kabupaten kolaka timur,no,pemerintah kabupaten kolaka
pemerintah kabupaten kolaka timur,no,pemerintah kabupaten kolaka utara
pemerintah kabupaten kolaka timur,yes,pemkab kolaka timur
pemerintah kabupaten kolaka timur,no,pemkab kolaka
pemerintah kabupaten kolaka timur,no,pemkab kolaka utara
pemerintah kabupaten konawe,no,pemkab konawe utara
pemerintah kabupaten konawe,no,pemerintah kabupaten konawe selatan
pemerintah kabupaten konawe,no,pemkab konawe selatan
pemerintah kabupaten konawe,no,pemkab konawe kepulauan
pemerintah kabupaten konawe,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten konawe,yes,pemkab konawe
pemerintah kabupaten konawe,no,pemerintah kabupaten konawe utara
pemerintah kabupaten konawe selatan,no,pemkab konawe utara
pemerintah kabupaten konawe selatan,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten konawe selatan,no,pemkab konawe
pemerintah kabupaten konawe selatan,yes,pemkab konawe selatan
pemerintah kabupaten konawe selatan,no,pemerintah kabupaten konawe
pemerintah kabupaten konawe selatan,no,pemerintah kabupaten konawe utara
pemerintah kabupaten konawe selatan,no,pemkab konawe kepulauan
pemerintah kabupaten konawe utara,yes,pemkab konawe utara
pemerintah kabupaten konawe utara,no,pemerintah kabupaten konawe
pemerintah kabupaten konawe utara,no,pemkab konawe selatan
pemerintah kabupaten konawe utara,no,pemerintah kabupaten konawe selatan
pemerintah kabupaten konawe utara,no,pemkab konawe
pemerintah kabupaten konawe utara,no,pemerintah kabupaten konawe kepulauan
pemerintah kabupaten konawe utara,no,pemkab konawe kepulauan
pemerintah kabupaten kuantan singingi,no,pemerintah kabupaten sidenreng rappang
pemerintah kabupaten kuantan singingi,yes,pemkab kuantan singingi
pemerintah kabupaten langkat,yes,pemkab langkat
pemerintah kabupaten langkat,no,pemkab landak
pemerintah kabupaten langkat,no,pemerintah kabupaten landak
pemerintah kabupaten luwu timur,yes,pemkab luwu timur
pemerintah kabupaten luwu timur,no,pemerintah kabupaten luwu
pemerintah kabupaten luwu timur,no,pemkab luwu
pemerintah kabupaten luwu timur,no,pemkab luwu utara
pemerintah kabupaten luwu timur,no,pemerintah kabupaten luwu utara
pemerintah kabupaten luwu utara,no,pemerintah kabupaten luwu timur
pemerintah kabupaten luwu utara,no,pemkab luwu timur
pemerintah kabupaten luwu utara,no,pemerintah kabupaten luwu
pemerintah kabupaten luwu utara,no,pemkab luwu
pemerintah kabupaten luwu utara,yes,pemkab luwu utara
pemerintah kabupaten majene,no,pemerintah kabupaten majalengka
pemerintah kabupaten majene,yes,pemkab majene
pemerintah kabupaten mamasa,no,pemerintah kabupaten mamuju
pemerintah kabupaten mamasa,no,pemerintah kabupaten mamuju tengah
pemerintah kabupaten mamasa,yes,pemkab mamasa
pemerintah kabupaten mamuju,no,pemerintah kabupaten mamuju tengah
pemerintah kabupaten mamuju,no,pemkab mamuju tengah
pemerintah kabupaten mamuju,yes,pemkab mamuju
pemerintah kabupaten mamuju tengah,no,pemerintah kabupaten mamuju
pemerintah kabupaten mamuju tengah,no,pemkab mamuju
pemerintah kabupaten mamuju tengah,yes,pemkab mamuju tengah
pemerintah kabupaten mandailing natal,yes,pemkab mandailing natal
pemerintah kabupaten mandailing natal,no,pemkab polewali mandar
pemerintah kabupaten mandailing natal,no,pemerintah kabupaten polewali mandar
pemerintah kabupaten minahasa utara,no,pemerintah kabupaten minahasa
pemerintah kabupaten minahasa utara,yes,pemkab minahasa utara
pemerintah kabupaten minahasa utara,no,pemkab minahasa
pemerintah kabupaten minahasa utara,no,pemerintah kabupaten minahasa selatan
pemerintah kabupaten minahasa utara,no,pemkab minahasa tenggara
pemerintah kabupaten minahasa utara,no,pemerintah kabupaten minahasa tenggara
pemerintah kabupaten minahasa utara,no,pemkab minahasa selatan
pemerintah kabupaten morowali utara,yes,pemkab morowali utara
pemerintah kabupaten morowali utara,no,pemerintah kabupaten morowali
pemerintah kabupaten morowali utara,no,pemkab morowali
pemerintah kabupaten muara enim,no,pemkab muaro jambi
pemerintah kabupaten muara enim,no,pemerintah kabupaten muaro jambi
pemerintah kabupaten muara enim,yes,pemkab muara enim
pemerintah kabupaten musi banyuasin,no,pemerintah kabupaten muna
pemerintah kabupaten musi banyuasin,no,pemkab musi rawas
pemerintah kabupaten musi banyuasin,no,pemkab musi rawas utara
pemerintah kabupaten musi banyuasin,no,pemerintah kabupaten musi rawas utara
pemerintah kabupaten musi banyuasin,no,pemerintah kabupaten musi rawas
pemerintah kabupaten musi banyuasin,yes,pemkab musi banyuasin
pemerintah kabupaten musi rawas,yes,pemkab musi rawas
pemerintah kabupaten musi rawas,no,pemerintah kabupaten muna
pemerintah kabupaten musi rawas,no,pemkab musi banyuasin
pemerintah kabupaten musi rawas,no,pemkab musi rawas utara
pemerintah kabupaten musi rawas,no,pemerintah kabupaten musi rawas utara
pemerintah kabupaten musi rawas,no,pemerintah kabupaten musi banyuasin
pemerintah kabupaten nias,no,pemerintah kabupaten nias selatan
pemerintah kabupaten nias,no,pemkab nias selatan
pemerintah kabupaten nias,no,pemerintah kabupaten nias barat
pemerintah kabupaten nias,no,pemerintah kabupaten nias utara
pemerintah kabupaten nias,no,pemkab nias utara
pemerintah kabupaten nias,no,pemkab nias barat
pemerintah kabupaten nias,yes,pemkab nias
pemerintah kabupaten nias barat,no,pemkab nias selatan
pemerintah kabupaten nias barat,no,pemerintah kabupaten nias selatan
pemerintah kabupaten nias barat,no,pemerintah kabupaten nias
pemerintah kabupaten nias barat,no,pemkab nias
pemerintah kabupaten nias barat,no,pemerintah kabupaten nias utara
pemerintah kabupaten nias barat,no,pemkab nias utara
pemerintah kabupaten nias barat,yes,pemkab nias barat
pemerintah kabupaten nias selatan,no,pemerintah kabupaten nias barat
pemerintah kabupaten nias selatan,no,pemkab nias barat
pemerintah kabupaten nias selatan,no,pemerintah kabupaten nias
pemerintah kabupaten nias selatan,no,pemkab nias
pemerintah kabupaten nias selatan,no,pemkab nias utara
pemerintah kabupaten nias selatan,yes,pemkab nias selatan
pemerintah kabupaten nias selatan,no,pemerintah kabupaten nias utara
pemerintah kabupaten ogan ilir,yes,pemkab ogan ilir
pemerintah kabupaten ogan ilir,no,pemerintah kabupaten ogan komering ulu selatan
pemerintah kabupaten ogan ilir,no,pemkab ogan komering ulu selatan
pemerintah kabupaten ogan ilir,no,pemerintah kabupaten ogan komering ilir
pemerintah kabupaten ogan ilir,no,pemerintah kabupaten ogan komering ulu
pemerintah kabupaten ogan ilir,no,pemkab ogan komering ulu timur
pemerintah kabupaten ogan ilir,no,pemerintah kabupaten ogan komering ulu timur
pemerintah kabupaten ogan ilir,no,pemkab ogan komering ulu
pemerintah kabupaten ogan ilir,no,pemkab ogan komering ilir
pemerintah kabupaten ogan komering ulu selatan,no,pemkab ogan komering ulu timur
pemerintah kabupaten ogan komering ulu selatan,no,pemerintah kabupaten ogan komering ilir
pemerintah kabupaten ogan komering ulu selatan,no,pemkab ogan komering ilir
pemerintah kabupaten ogan komering ulu selatan,no,pemerintah kabupaten ogan komering ulu timur
pemerintah kabupaten ogan komering ulu selatan,no,pemerintah kabupaten ogan ilir
pemerintah kabupaten ogan komering ulu selatan,no,pemkab ogan ilir
pemerintah kabupaten ogan komering ulu selatan,no,pemerintah kabupaten ogan komering ulu
pemerintah kabupaten ogan komering ulu selatan,no,pemkab ogan komering ulu
pemerintah kabupaten ogan komering ulu selatan,yes,pemkab ogan komering ulu selatan
pemerintah kabupaten ogan komering ulu timur,no,pemkab ogan ilir
pemerintah kabupaten ogan komering ulu timur,no,pemerintah kabupaten ogan ilir
pemerintah kabupaten ogan komering ulu timur,no,pemerintah kabupaten ogan komering ilir
pemerintah kabupaten ogan komering ulu timur,no,pemkab ogan komering ilir
pemerintah kabupaten ogan komering ulu timur,yes,pemkab ogan komering ulu timur
pemerintah kabupaten ogan komering ulu timur,no,pemkab ogan komering ulu selatan
pemerintah kabupaten ogan komering ulu timur,no,pemerintah kabupaten ogan komering ulu selatan
pemerintah kabupaten ogan komering ulu timur,no,pemkab ogan komering ulu
pemerintah kabupaten ogan komering ulu timur,no,pemerintah kabupaten ogan komering ulu
pemerintah kabupaten padang lawas utara,no,pemkab padang lawas
pemerintah kabupaten padang lawas utara,yes,pemkab padang lawas utara
pemerintah kabupaten padang lawas utara,no,pemerintah kabupaten padang lawas
pemerintah kabupaten padang lawas utara,no,pemerintah kabupaten padang pariaman
pemerintah kabupaten padang lawas utara,no,pemkab padang pariaman
