instansi,reference,status
Pemerintah Kabupaten Halmahera Utara,Pemerintah Kabupaten Halmahera Timur,no
Pemerintah Kabupaten Halmahera Utara,Pemkab Halmahera Selatan,no
Pemerintah Kabupaten Halmahera Utara,Pemerintah Kabupaten Halmahera Tengah,no
Pemerintah Kabupaten Halmahera Utara,Pemkab Halmahera Tengah,no
Pemerintah Kabupaten Halmahera Utara,Pemerintah Kabupaten Halmahera Selatan,no
Pemerintah Kabupaten Intan Jaya,Pemerintah Kabupaten Pidie Jaya,no
Pemerintah Kabupaten Intan Jaya,Pemkab Pidie Jaya,no
Pemerintah Kabupaten Intan Jaya,Pemkab Intan Jaya,yes
Pemerintah Kabupaten Intan Jaya,Pemkab Puncak Jaya,no
Pemerintah Kabupaten Intan Jaya,Pemerintah Kabupaten Lanny Jaya,no
Pemerintah Kabupaten Intan Jaya,Pemkab Lanny Jaya,no
Pemerintah Kabupaten Intan Jaya,Pemerintah Kabupaten Puncak Jaya,no
Pemerintah Kabupaten Kapuas,Sungai Kapuas,no
Pemerintah Kabupaten Kapuas,Pemkab Kapuas,yes
Pemerintah Kabupaten Keerom,Pemkab Keerom,yes
Pemerintah Kabupaten Keerom,Komisi Pemilihan Umum Kabupaten Keerom,no
Pemerintah Kabupaten Keerom,KPU Kabupaten Keerom,no
Pemerintah Kabupaten Kepulauan Aru,Pemkab Kepulauan Aru,yes
Pemerintah Kabupaten Kepulauan Aru,Pemkab Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Aru,Pemerintah Kabupaten Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Aru,Pemkab Kepulauan Sula,no
Pemerintah Kabupaten Kepulauan Aru,Pemerintah Kabupaten Kepulauan Anambas,no
Pemerintah Kabupaten Kepulauan Aru,Pemkab Aru,yes
Pemerintah Kabupaten Kepulauan Aru,Pemerintah Kabupaten Aru,yes
Pemerintah Kabupaten Kepulauan Aru,Pemkab Kepulauan Anambas,no
Pemerintah Kabupaten Kepulauan Aru,Pemerintah Kabupaten Kepulauan Sula,no
Pemerintah Kabupaten Kepulauan Sula,Pemerintah Kabupaten Sula,yes
Pemerintah Kabupaten Kepulauan Sula,Pemkab Kepulauan Sula,yes
Pemerintah Kabupaten Kepulauan Sula,Pemkab Kepulauan Anambas,no
Pemerintah Kabupaten Kepulauan Sula,Pemerintah Kabupaten Kepulauan Anambas,no
Pemerintah Kabupaten Kepulauan Sula,Pemkab Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Sula,Pemkab Kepulauan Aru,no
Pemerintah Kabupaten Kepulauan Sula,Pemerintah Kabupaten Kepulauan Aru,no
Pemerintah Kabupaten Kepulauan Sula,Pemerintah Kabupaten Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Sula,Pemkab Sula,yes
Pemerintah Kabupaten Kepulauan Yapen,Pemkab Kepulauan Aru,no
Pemerintah Kabupaten Kepulauan Yapen,Pemerintah Kabupaten Kepulauan Aru,no
Pemerintah Kabupaten Kepulauan Yapen,Pemkab Yapen,yes
Pemerintah Kabupaten Kepulauan Yapen,Pemerintah Kabupaten Yapen,yes
Pemerintah Kabupaten Kepulauan Yapen,Pemerintah Kabupaten Kepulauan Anambas,no
Pemerintah Kabupaten Kepulauan Yapen,Pemerintah Kabupaten Kepulauan Sula,no
Pemerintah Kabupaten Kepulauan Yapen,Pemkab Kepulauan Sula,no
Pemerintah Kabupaten Kepulauan Yapen,Pemkab Kepulauan Yapen,yes
Pemerintah Kabupaten Kepulauan Yapen,Pemkab Kepulauan Anambas,no
Pemerintah Kabupaten Kotawaringin Barat,Pemkab Kotawaringin Barat,yes
Pemerintah Kabupaten Kotawaringin Barat,Pemerintah Kabupaten Kotawaringin Timur,no
Pemerintah Kabupaten Kotawaringin Barat,Pemkab Kotawaringin Timur,no
Pemerintah Kabupaten Kotawaringin Timur,Pemkab Kotawaringin Barat,no
Pemerintah Kabupaten Kotawaringin Timur,Pemerintah Kabupaten Kotawaringin Barat,no
Pemerintah Kabupaten Kotawaringin Timur,Pemkab Kotawaringin Timur,yes
Pemerintah Kabupaten Kupang,PT Semen Kupang,no
Pemerintah Kabupaten Kupang,Pemkab Kupang,yes
Pemerintah Kabupaten Kutai Barat,Pemkab Kutai Kartanegara,no
Pemerintah Kabupaten Kutai Barat,Pemerintah Kabupaten Kutai Kartanegara,no
Pemerintah Kabupaten Kutai Barat,Pemkab Kutai Barat,yes
Pemerintah Kabupaten Kutai Barat,Pemerintah Kabupaten Kutai Timur,no
Pemerintah Kabupaten Kutai Barat,Pemkab Kutai Timur,no
Pemerintah Kabupaten Kutai Kartanegara,Pemkab Kutai Kartanegara,yes
Pemerintah Kabupaten Kutai Kartanegara,Pemerintah Kabupaten Kutai Barat,no
Pemerintah Kabupaten Kutai Kartanegara,Pemkab Kutai Barat,no
Pemerintah Kabupaten Kutai Kartanegara,Pemkab Kutai Timur,no
Pemerintah Kabupaten Kutai Kartanegara,Pemerintah Kabupaten Kutai Timur,no
Pemerintah Kabupaten Kutai Timur,Pemerintah Kabupaten Kutai Kartanegara,no
Pemerintah Kabupaten Kutai Timur,Pemkab Kutai Kartanegara,no
Pemerintah Kabupaten Kutai Timur,Pemerintah Kabupaten Kutai Barat,no
Pemerintah Kabupaten Kutai Timur,Pemkab Kutai Barat,no
Pemerintah Kabupaten Kutai Timur,Pemkab Kutai Timur,yes
Pemerintah Kabupaten Lamandau,Pemkab Lampung,no
Pemerintah Kabupaten Lamandau,Pemerintah Kabupaten Lampung,no
Pemerintah Kabupaten Lamandau,Pemkab Lamandau,yes
Pemerintah Kabupaten Lampung Barat,Pemerintah Kabupaten Lampung Timur,no
Pemerintah Kabupaten Lampung Barat,Pemkab Lampung Barat,yes
Pemerintah Kabupaten Lampung Barat,Pemkab Lampung Timur,no
Pemerintah Kabupaten Lampung Barat,Pemerintah Kota Bandar Lampung,no
Pemerintah Kabupaten Lampung Barat,Pemkot Bandar Lampung,no
Pemerintah Kabupaten Lampung Barat,Pemerintah Kabupaten Lampung Selatan,no
Pemerintah Kabupaten Lampung Barat,Pemkab Lampung Selatan,no
Pemerintah Kabupaten Lampung Barat,Pemprov Lampung,no
Pemerintah Kabupaten Lampung Barat,Pemerintah Kabupaten Lampung Utara,no
Pemerintah Kabupaten Lampung Barat,Pemkab Lampung Utara,no
Pemerintah Kabupaten Lampung Barat,Pemkab Lampung Tengah,no
Pemerintah Kabupaten Lampung Barat,Pemerintah Provinsi Lampung,no
Pemerintah Kabupaten Lampung Barat,Pemerintah Kabupaten Lampung Tengah,no
Pemerintah Kabupaten Lampung Selatan,Pemkab Lampung Tengah,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Kabupaten Lampung Tengah,no
Pemerintah Kabupaten Lampung Selatan,Pemkab Lampung Utara,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Kabupaten Lampung Utara,no
Pemerintah Kabupaten Lampung Selatan,Pemprov Lampung,no
Pemerintah Kabupaten Lampung Selatan,Pemkab Lampung Selatan,yes
Pemerintah Kabupaten Lampung Selatan,Pemkot Bandar Lampung,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Kota Bandar Lampung,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Provinsi Lampung,no
Pemerintah Kabupaten Lampung Selatan,Pemkab Lampung Timur,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Kabupaten Lampung Timur,no
Pemerintah Kabupaten Lampung Selatan,Pemkab Lampung Barat,no
Pemerintah Kabupaten Lampung Selatan,Pemerintah Kabupaten Lampung Barat,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Kabupaten Lampung Tengah,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Kabupaten Lampung Timur,no
Pemerintah Kabupaten Lampung Utara,Pemprov Lampung,no
Pemerintah Kabupaten Lampung Utara,Pemkab Lampung Timur,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Provinsi Lampung,no
Pemerintah Kabupaten Lampung Utara,Pemkab Lampung Selatan,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Kabupaten Lampung Selatan,no
Pemerintah Kabupaten Lampung Utara,Pemkot Bandar Lampung,no
Pemerintah Kabupaten Lampung Utara,Pemkab Lampung Tengah,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Kota Bandar Lampung,no
Pemerintah Kabupaten Lampung Utara,Pemerintah Kabupaten Lampung Barat,no
Pemerintah Kabupaten Lampung Utara,Pemkab Lampung Utara,yes
Pemerintah Kabupaten Lampung Utara,Pemkab Lampung Barat,no
Pemerintah Kabupaten Lanny Jaya,Pemerintah Kabupaten Pidie Jaya,no
Pemerintah Kabupaten Lanny Jaya,Pemkab Pidie Jaya,no
Pemerintah Kabupaten Lanny Jaya,Pemkab Lanny Jaya,yes
Pemerintah Kabupaten Lanny Jaya,Pemerintah Kabupaten Puncak Jaya,no
Pemerintah Kabupaten Lanny Jaya,Pemkab Intan Jaya,no
Pemerintah Kabupaten Lanny Jaya,Pemerintah Kabupaten Intan Jaya,no
Pemerintah Kabupaten Lanny Jaya,Pemkab Puncak Jaya,no
Pemerintah Kabupaten Lombok Tengah,Pemkab Lombok Utara,no
Pemerintah Kabupaten Lombok Tengah,Pemerintah Kabupaten Lombok Utara,no
Pemerintah Kabupaten Lombok Tengah,Pemkab Lombok Tengah,yes
Pemerintah Kabupaten Lombok Tengah,Pemerintah Kabupaten Lombok Timur,no
Pemerintah Kabupaten Lombok Tengah,Pemkab Lombok Timur,no
Pemerintah Kabupaten Lombok Tengah,Pemerintah Kabupaten Lombok Barat,no
Pemerintah Kabupaten Lombok Tengah,Pemkab Lombok Barat,no
Pemerintah Kabupaten Lombok Timur,Pemkab Lombok Tengah,no
Pemerintah Kabupaten Lombok Timur,Pemerintah Kabupaten Lombok Tengah,no
Pemerintah Kabupaten Lombok Timur,Pemerintah Kabupaten Lombok Utara,no
Pemerintah Kabupaten Lombok Timur,Pemkab Lombok Barat,no
Pemerintah Kabupaten Lombok Timur,Pemerintah Kabupaten Lombok Barat,no
Pemerintah Kabupaten Lombok Timur,Pemkab Lombok Timur,yes
Pemerintah Kabupaten Lombok Timur,Pemkab Lombok Utara,no
Pemerintah Kabupaten Mahakam Ulu,Pemerintah Kota Mataram,no
Pemerintah Kabupaten Mahakam Ulu,Pemkab Mahakam Ulu,yes
Pemerintah Kabupaten Mahakam Ulu,Pemkot Mataram,no
Pemerintah Kabupaten Malinau,Pemkab Malinau,yes
Pemerintah Kabupaten Malinau,Mindanao,no
Pemerintah Kabupaten Maluku Barat Daya,Pemprov Maluku,no
Pemerintah Kabupaten Maluku Barat Daya,Pemkab Malaka,no
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah Kabupaten Malaka,no
Pemerintah Kabupaten Maluku Barat Daya,Pemkab Maluku Tenggara Barat,no
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah Kabupaten Maluku Tenggara Barat,no
Pemerintah Kabupaten Maluku Barat Daya,Pemkab Maluku Tengah,no
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah Provinsi Maluku,no
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah Kabupaten Maluku Tengah,no
Pemerintah Kabupaten Maluku Barat Daya,Pemerintah Kabupaten Maluku Tenggara,no
Pemerintah Kabupaten Maluku Barat Daya,Pemkab Maluku Barat Daya,yes
Pemerintah Kabupaten Maluku Barat Daya,Pemkab Maluku Tenggara,no
Pemerintah Kabupaten Maluku Tengah,Pemkab Maluku Tenggara,no
Pemerintah Kabupaten Maluku Tengah,Pemerintah Kabupaten Maluku Tenggara,no
Pemerintah Kabupaten Maluku Tengah,Pemkab Maluku Barat Daya,no
Pemerintah Kabupaten Maluku Tengah,Pemerintah Provinsi Maluku,no
Pemerintah Kabupaten Maluku Tengah,Pemkab Maluku Tengah,yes
Pemerintah Kabupaten Maluku Tengah,Pemprov Maluku,no
Pemerintah Kabupaten Maluku Tengah,Pemerintah Kabupaten Malaka,no
Pemerintah Kabupaten Maluku Tengah,Pemerintah Kabupaten Maluku Barat Daya,no
Pemerintah Kabupaten Maluku Tengah,Pemerintah Kabupaten Maluku Tenggara Barat,no
Pemerintah Kabupaten Maluku Tengah,Pemkab Maluku Tenggara Barat,no
Pemerintah Kabupaten Maluku Tengah,Pemkab Malaka,no
Pemerintah Kabupaten Mamberamo Raya,Pemkab Mamberamo Raya,yes
Pemerintah Kabupaten Mamberamo Raya,Pemkab Mamberamo Tengah,no
Pemerintah Kabupaten Mamberamo Raya,Pemerintah Kabupaten Mamberamo Tengah,no
Pemerintah Kabupaten Mamberamo Tengah,Pemkab Mamberamo Tengah,yes
Pemerintah Kabupaten Mamberamo Tengah,Pemerintah Kabupaten Mamberamo Raya,no
Pemerintah Kabupaten Mamberamo Tengah,Pemkab Mamberamo Raya,no
Pemerintah Kabupaten Manggarai,Pemkab Manggarai,yes
Pemerintah Kabupaten Manggarai,Pemkab Manggarai Barat,no
Pemerintah Kabupaten Manggarai,Pemerintah Kabupaten Manggarai Barat,no
Pemerintah Kabupaten Manggarai,Pemkab Manggarai Timur,no
Pemerintah Kabupaten Manggarai,Manggarai,no
Pemerintah Kabupaten Manggarai,Pemerintah Kabupaten Manggarai Timur,no
Pemerintah Kabupaten Manggarai Barat,Pemerintah Kabupaten Manggarai,no
Pemerintah Kabupaten Manggarai Barat,Pemkab Manggarai,no
Pemerintah Kabupaten Manggarai Barat,Pemerintah Kabupaten Manggarai Timur,no
Pemerintah Kabupaten Manggarai Barat,Pemkab Manggarai Barat,yes
Pemerintah Kabupaten Manggarai Barat,Manggarai,no
Pemerintah Kabupaten Manggarai Barat,Pemkab Manggarai Timur,no
Pemerintah Kabupaten Manggarai Timur,Pemerintah Kabupaten Manggarai Barat,no
Pemerintah Kabupaten Manggarai Timur,Pemkab Manggarai Barat,no
Pemerintah Kabupaten Manggarai Timur,Pemkab Manggarai,no
Pemerintah Kabupaten Manggarai Timur,Pemkab Manggarai Timur,yes
Pemerintah Kabupaten Manggarai Timur,Manggarai,no
Pemerintah Kabupaten Manggarai Timur,Pemerintah Kabupaten Manggarai,no
Pemerintah Kabupaten Manokwari,Pemerintah Kabupaten Manokwari Selatan,no
Pemerintah Kabupaten Manokwari,Pemkab Manokwari,yes
Pemerintah Kabupaten Manokwari,Pemkab Manokwari Selatan,no
Pemerintah Kabupaten Manokwari Selatan,Pemkab Manokwari Selatan,yes
Pemerintah Kabupaten Manokwari Selatan,Pemkab Manokwari,no
Pemerintah Kabupaten Manokwari Selatan,Pemerintah Kabupaten Manokwari,no
Pemerintah Kabupaten Mappi,Masyarakat Profesi Penilai Indonesia,no
Pemerintah Kabupaten Mappi,Sertifikat MAPPI,no
Pemerintah Kabupaten Mappi,Pemkab Mappi,yes
Pemerintah Kabupaten Mappi,Merapi,no
Pemerintah Kabupaten Mesuji,Pemkab Mesuji,yes
Pemerintah Kabupaten Mesuji,Kawasan Perdesaan Prioritas Nasional Mesuji,no
Pemerintah Kabupaten Mesuji,KPPN Mesuji,no
Pemerintah Kabupaten Mimika,Pemkab Mimika,yes
Pemerintah Kabupaten Mimika,Timika,no
Pemerintah Kabupaten Murung Raya,Pemkab Murung Raya,yes
Pemerintah Kabupaten Murung Raya,Murung,no
Pemerintah Kabupaten Nabire,Partai Ummat Kabupaten Nabire,no
Pemerintah Kabupaten Nabire,Pemkab Nabire,yes
Pemerintah Kabupaten Nabire,BPS Kabupaten Nabire,no
Pemerintah Kabupaten Nabire,Badan Pusat Statistik Kabupaten Nabire,no
Pemerintah Kabupaten Nagekeo,Natgeo,no
Pemerintah Kabupaten Nagekeo,Pemkab Nagekeo,yes
Pemerintah Kabupaten Natuna,Laut Natuna,no
Pemerintah Kabupaten Natuna,Pemkab Natuna,yes
Pemerintah Kabupaten Nduga,Pemerintah Kabupaten Ngada,no
Pemerintah Kabupaten Nduga,Pemkab Nduga,yes
Pemerintah Kabupaten Nduga,Pemkab Ngada,no
Pemerintah Kabupaten Nunukan,Pemerintah Kabupaten Pasuruan,no
Pemerintah Kabupaten Nunukan,Pemkab Pasuruan,no
Pemerintah Kabupaten Nunukan,Pemkab Nunukan,yes
Pemerintah Kabupaten Paniai,pantai,no
Pemerintah Kabupaten Paniai,Pemkab Paniai,yes
Pemerintah Kabupaten Pegunungan Bintang,Pemkab Bintan,no
Pemerintah Kabupaten Pegunungan Bintang,Pemerintah Kabupaten Bintan,no
Pemerintah Kabupaten Pegunungan Bintang,Bukit Bintang,no
Pemerintah Kabupaten Pegunungan Bintang,Pemkab Pegunungan Bintang,yes
Pemerintah Kabupaten Penajam Paser Utara,Pemkab Penajam Paser Utara,yes
Pemerintah Kabupaten Penajam Paser Utara,Pemerintah Kabupaten Paser,no
Pemerintah Kabupaten Penajam Paser Utara,Pemerintah Kabupaten Penajam Paser,yes
Pemerintah Kabupaten Penajam Paser Utara,Pemkab Paser,no
Pemerintah Kabupaten Penajam Paser Utara,Pemkab Penajam Paser,yes
Pemerintah Kabupaten Penajam Paser Utara,Pemkab PPU,yes
Pemerintah Kabupaten Penajam Paser Utara,Pemerintah Kabupaten PPU,yes
Pemerintah Kabupaten Pesawaran,Pemkab Pesawaran,yes
Pemerintah Kabupaten Pesawaran,saweran,no
Pemerintah Kabupaten Pesisir Barat,Pemkab Pesisir Barat,yes
Pemerintah Kabupaten Pesisir Barat,Pemerintah Kabupaten Pesisir Selatan,no
Pemerintah Kabupaten Pesisir Barat,Pemkab Pesisir Selatan,no
Pemerintah Kabupaten Pidie,Pemkab Pidie Jaya,no
Pemerintah Kabupaten Pidie,Pemerintah Kabupaten Pidie Jaya,no
Pemerintah Kabupaten Pidie,Pemkab Pidie,yes
Pemerintah Kabupaten Pulang Pisau,Kecamatan Pulau Pisang,no
Pemerintah Kabupaten Pulang Pisau,Komisi Pemilihan Umum Kabupaten Pulang Pisau,no
Pemerintah Kabupaten Pulang Pisau,KPU Kabupaten Pulang Pisau,no
Pemerintah Kabupaten Pulang Pisau,Pemkab Pulang Pisau,yes
Pemerintah Kabupaten Pulau Morotai,Pemkab Pulau Morotai,yes
Pemerintah Kabupaten Pulau Morotai,Pemkab Pulau Taliabu,no
Pemerintah Kabupaten Pulau Morotai,Pemkab Morotai,yes
Pemerintah Kabupaten Pulau Morotai,Pemerintah Kabupaten Pulau Taliabu,no
Pemerintah Kabupaten Pulau Morotai,Pemerintah Kabupaten Morotai,yes
Pemerintah Kabupaten Puncak,Pemkab Puncak,yes
Pemerintah Kabupaten Puncak,Pemkab Puncak Jaya,no
Pemerintah Kabupaten Puncak,Pemerintah Kabupaten Puncak Jaya,no
Pemerintah Kabupaten Puncak,Puncak,no
Pemerintah Kabupaten Puncak Jaya,Pemkab Pidie Jaya,no
Pemerintah Kabupaten Puncak Jaya,Pemerintah Kabupaten Pidie Jaya,no
Pemerintah Kabupaten Puncak Jaya,Pemkot Jayapura,no
Pemerintah Kabupaten Puncak Jaya,Pemkab Puncak,no
Pemerintah Kabupaten Puncak Jaya,Pemerintah Kabupaten Puncak,no
Pemerintah Kabupaten Puncak Jaya,Pemerintah Kabupaten Intan Jaya,no
Pemerintah Kabupaten Puncak Jaya,Pemerintah Kabupaten Lanny Jaya,no
Pemerintah Kabupaten Puncak Jaya,Pemkab Lanny Jaya,no
Pemerintah Kabupaten Puncak Jaya,Puncak,no
Pemerintah Kabupaten Puncak Jaya,Pemkab Intan Jaya,no
Pemerintah Kabupaten Puncak Jaya,Pemerintah Kota Jayapura,no
Pemerintah Kabupaten Puncak Jaya,Pemkab Puncak Jaya,yes
Pemerintah Kabupaten Rote Ndao,RSUD Rote Ndao,no
Pemerintah Kabupaten Rote Ndao,Rumah Sakit Umum Daerah Rote Ndao,no
Pemerintah Kabupaten Rote Ndao,Pemkab Rote Ndao,yes
Pemerintah Kabupaten Rote Ndao,suku Rote,no
Pemerintah Kabupaten Rote Ndao,Pulau Rote,no
Pemerintah Kabupaten Sabu Raijua,Kecamatan Sabu,no
Pemerintah Kabupaten Sabu Raijua,Pemkab Sabu Raijua,yes
Pemerintah Kabupaten Sabu Raijua,Pemerintah Kabupaten Sabu-Raijua,yes
Pemerintah Kabupaten Sabu Raijua,Pemkab Sabu-Raijua,yes
Pemerintah Kabupaten Seram Bagian Barat,Pemkab Seram Bagian Timur,no
Pemerintah Kabupaten Seram Bagian Barat,Pemkab Seram Bagian Barat,yes
Pemerintah Kabupaten Seram Bagian Barat,Pemkab Seram Barat,yes
Pemerintah Kabupaten Seram Bagian Barat,Pemerintah Kabupaten Seram Barat,yes
Pemerintah Kabupaten Seram Bagian Barat,Pemerintah Kabupaten Seram Bagian Timur,no
Pemerintah Kabupaten Seram Bagian Barat,Pemerintah Kabupaten Seram Timur,no
Pemerintah Kabupaten Seram Bagian Barat,Pemkab Seram Timur,no
Pemerintah Kabupaten Seram Bagian Timur,Pemkab Seram Bagian Timur,yes
Pemerintah Kabupaten Seram Bagian Timur,Pemkab Seram Bagian Barat,no
Pemerintah Kabupaten Seram Bagian Timur,Pemerintah Kabupaten Seram Barat,no
Pemerintah Kabupaten Seram Bagian Timur,Pemkab Seram Timur,yes
Pemerintah Kabupaten Seram Bagian Timur,Pemerintah Kabupaten Seram Timur,yes
Pemerintah Kabupaten Seram Bagian Timur,Pemkab Seram Barat,no
Pemerintah Kabupaten Seram Bagian Timur,Pemerintah Kabupaten Seram Bagian Barat,no
Pemerintah Kabupaten Seruyan,Pemkab Seruyan,yes
Pemerintah Kabupaten Seruyan,Sungai Seruyan,no
Pemerintah Kabupaten Simeulue,BPS Kabupaten Simeulue,no
Pemerintah Kabupaten Simeulue,Pemkab Simeulue,yes
Pemerintah Kabupaten Simeulue,Pulau Simeulue,no
Pemerintah Kabupaten Simeulue,Badan Pusat Statistik Kabupaten Simeulue,no
Pemerintah Kabupaten Sukamara,Pengadilan Agama Sukamara,no
Pemerintah Kabupaten Sukamara,Pemkab Sukamara,yes
Pemerintah Kabupaten Sukamara,PA Sukamara,no
Pemerintah Kabupaten Sumba Tengah,Pemprov Sumteng,no
Pemerintah Kabupaten Sumba Tengah,Pemerintah Kabupaten Sumbawa,no
Pemerintah Kabupaten Sumba Tengah,Pemerintah Kabupaten Sumba Timur,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumba Timur,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumba Barat,no
Pemerintah Kabupaten Sumba Tengah,Pemerintah Kabupaten Sumba Barat Daya,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumbawa,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumba Barat Daya,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumbawa Barat,no
Pemerintah Kabupaten Sumba Tengah,Pemerintah Kabupaten Sumbawa Barat,no
Pemerintah Kabupaten Sumba Tengah,Pemerintah Provinsi Sumteng,no
Pemerintah Kabupaten Sumba Tengah,Pemkab Sumba Tengah,yes
Pemerintah Kabupaten Sumba Tengah,Pemerintah Kabupaten Sumba Barat,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumba Timur,yes
Pemerintah Kabupaten Sumba Timur,Pemerintah Kabupaten Sumbawa,no
Pemerintah Kabupaten Sumba Timur,Pemerintah Kabupaten Sumbawa Barat,no
Pemerintah Kabupaten Sumba Timur,Pemerintah Kabupaten Sumba Barat Daya,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumba Barat Daya,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumba Tengah,no
Pemerintah Kabupaten Sumba Timur,Pemerintah Kabupaten Sumba Tengah,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumba Barat,no
Pemerintah Kabupaten Sumba Timur,Pemerintah Kabupaten Sumba Barat,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumbawa Barat,no
Pemerintah Kabupaten Sumba Timur,Pemkab Sumbawa,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumba Barat Daya,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumba Tengah,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumba Barat,no
Pemerintah Kabupaten Sumbawa,Pemerintah Kabupaten Sumba Barat,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumbawa,yes
Pemerintah Kabupaten Sumbawa,Pemerintah Kabupaten Sumba Barat Daya,no
Pemerintah Kabupaten Sumbawa,Pemerintah Kabupaten Sumba Timur,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumbawa Barat,no
Pemerintah Kabupaten Sumbawa,Pemerintah Kabupaten Sumbawa Barat,no
Pemerintah Kabupaten Sumbawa,Pemerintah Kabupaten Sumba Tengah,no
Pemerintah Kabupaten Sumbawa,Pemkab Sumba Timur,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumbawa Barat,yes
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Provinsi Sumbar,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumba Tengah,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumba Timur,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Kabupaten Sumba Timur,no
Pemerintah Kabupaten Sumbawa Barat,Pemprov Sumbar,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Provinsi Sumatera Barat,no
Pemerintah Kabupaten Sumbawa Barat,Pemprov Sumatera Barat,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Kabupaten Sumba Barat Daya,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumba Barat Daya,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Kabupaten Sumbawa,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumbawa,no
Pemerintah Kabupaten Sumbawa Barat,Pemkab Sumba Barat,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Kabupaten Sumba Barat,no
Pemerintah Kabupaten Sumbawa Barat,Pemerintah Kabupaten Sumba Tengah,no
Pemerintah Kabupaten Supiori,Pemkab Supiori,yes
Pemerintah Kabupaten Supiori,Badan Pusat Statistik Kabupaten Supiori,no
Pemerintah Kabupaten Supiori,BPS Kabupaten Supiori,no
Pemerintah Kabupaten Tana Tidung,Pemkab Tanah Bumbu,no
Pemerintah Kabupaten Tana Tidung,Pemerintah Kabupaten Tanah Laut,no
Pemerintah Kabupaten Tana Tidung,Pemkab Tana Tidung,yes
Pemerintah Kabupaten Tana Tidung,Pemkab Tanah Laut,no
Pemerintah Kabupaten Tana Tidung,Pemerintah Kabupaten Tanah Bumbu,no
Pemerintah Kabupaten Tana Tidung,Pemerintah KTT,yes
Pemerintah Kabupaten Tanah Bumbu,Pemkab Tanah Bumbu,yes
Pemerintah Kabupaten Tanah Bumbu,Pemkab Tanah Laut,no
Pemerintah Kabupaten Tanah Bumbu,Pemerintah Kabupaten Tanah Laut,no
Pemerintah Kabupaten Tanah Bumbu,Pemerintah Kabupaten Tana Tidung,no
Pemerintah Kabupaten Tanah Bumbu,Pemkab Tana Tidung,no
Pemerintah Kabupaten Tanggamus,Pengadilan Agama Tanggamus,no
Pemerintah Kabupaten Tanggamus,PA Tanggamus,no
Pemerintah Kabupaten Tanggamus,Pemkab Tanggamus,yes
Pemerintah Kabupaten Tapin,Polres Tapin,no
Pemerintah Kabupaten Tapin,Pemkab Tapin,yes
Pemerintah Kabupaten Timor Tengah Utara,Pemerintah Kabupaten Timteng Utara,yes
Pemerintah Kabupaten Timor Tengah Utara,Pemkab Timor Tengah Utara,yes
Pemerintah Kabupaten Timor Tengah Utara,Pemkab TTU,yes
Pemerintah Kabupaten Timor Tengah Utara,Pemkab Timor Tengah Selatan,no
Pemerintah Kabupaten Timor Tengah Utara,Pemerintah Kabupaten Timor Tengah Selatan,no
Pemerintah Kabupaten Timor Tengah Utara,Pemerintah Kabupaten TTU,yes
